n_cases,n_readers,icc_single,signal_r,power,type_i_at_null,auc_ceiling_single_reader,auc_ceiling_majority_vote,consensus_reliability,min_detectable_auc
60,1,0.6,0.45,0.495,0.03,0.8802002314814814,0.8802002314814814,0.6,0.7278103906923011
60,1,0.6,0.6,0.765,0.03,0.8802002314814814,0.8802002314814814,0.6,0.7278103906923011
120,1,0.6,0.3,0.45,0.025,0.8802002314814814,0.8802002314814814,0.6,0.6681616180274031
120,1,0.6,0.45,0.7975,0.025,0.8802002314814814,0.8802002314814814,0.6,0.6681616180274031
120,1,0.6,0.6,0.9625,0.025,0.8802002314814814,0.8802002314814814,0.6,0.6681616180274031
240,1,0.6,0.3,0.7575,0.0375,0.8802002314814814,0.8802002314814814,0.6,0.6211317249370749
240,1,0.6,0.45,0.9825,0.0375,0.8802002314814814,0.8802002314814814,0.6,0.6211317249370749
240,1,0.6,0.6,1.0,0.0375,0.8802002314814814,0.8802002314814814,0.6,0.6211317249370749
60,3,0.6,0.3,0.3,0.03,0.8811018518518519,0.9363276862364444,0.818181818181818,0.7278103906923011
60,3,0.6,0.45,0.585,0.03,0.8811018518518519,0.9363276862364444,0.818181818181818,0.7278103906923011
60,3,0.6,0.6,0.8675,0.03,0.8811018518518519,0.9363276862364444,0.818181818181818,0.7278103906923011
120,3,0.6,0.3,0.5325,0.035,0.8811018518518519,0.9363276862364444,0.818181818181818,0.6681616180274031
120,3,0.6,0.45,0.89,0.035,0.8811018518518519,0.9363276862364444,0.818181818181818,0.6681616180274031
120,3,0.6,0.6,0.995,0.035,0.8811018518518519,0.9363276862364444,0.818181818181818,0.6681616180274031
240,3,0.6,0.3,0.8225,0.0225,0.8811018518518519,0.9363276862364444,0.818181818181818,0.6211317249370749
240,3,0.6,0.45,0.995,0.0225,0.8811018518518519,0.9363276862364444,0.818181818181818,0.6211317249370749
240,3,0.6,0.6,1.0,0.0225,0.8811018518518519,0.9363276862364444,0.818181818181818,0.6211317249370749
